ethnicity,locus,allele,count,total,frequency
Chinese,DQB1,-:,5,88800,5.630630630630631e-05
Chinese,DQB1,02:01,9723,88800,0.10949324324324325
Chinese,DQB1,02:02,5,88800,5.630630630630631e-05
Chinese,DQB1,02:75,1,88800,1.1261261261261261e-05
Chinese,DQB1,03:01,20309,88800,0.22870495495495496
Chinese,DQB1,03:02,6968,88800,0.07846846846846847
Chinese,DQB1,03:03,13712,88800,0.15441441441441442
Chinese,DQB1,03:04,2,88800,2.2522522522522523e-05
Chinese,DQB1,03:05,11,88800,0.00012387387387387388
Chinese,DQB1,03:10,3,88800,3.3783783783783784e-05
Chinese,DQB1,03:108,1,88800,1.1261261261261261e-05
Chinese,DQB1,03:13,49,88800,0.0005518018018018018
Chinese,DQB1,03:17,9,88800,0.00010135135135135135
Chinese,DQB1,03:258,2,88800,2.2522522522522523e-05
Chinese,DQB1,03:26,8,88800,9.009009009009009e-05
Chinese,DQB1,03:274,1,88800,1.1261261261261261e-05
Chinese,DQB1,03:34,3,88800,3.3783783783783784e-05
Chinese,DQB1,03:57,1,88800,1.1261261261261261e-05
Chinese,DQB1,03:BMSUA,2,88800,2.2522522522522523e-05
Chinese,DQB1,03:CAVTB,1,88800,1.1261261261261261e-05
Chinese,DQB1,03:CAVTC,3,88800,3.3783783783783784e-05
Chinese,DQB1,03:CVDNR,4,88800,4.5045045045045046e-05
Chinese,DQB1,04:01,5435,88800,0.061204954954954954
Chinese,DQB1,04:02,1361,88800,0.015326576576576576
Chinese,DQB1,04:CEKBY,1,88800,1.1261261261261261e-05
Chinese,DQB1,04:CETHX,1,88800,1.1261261261261261e-05
Chinese,DQB1,05:01,2651,88800,0.029853603603603604
Chinese,DQB1,05:02,8601,88800,0.0968581081081081
Chinese,DQB1,05:03,3654,88800,0.04114864864864865
Chinese,DQB1,05:04,3,88800,3.3783783783783784e-05
Chinese,DQB1,05:116,1,88800,1.1261261261261261e-05
Chinese,DQB1,05:66,1,88800,1.1261261261261261e-05
Chinese,DQB1,05:CEKCA,1,88800,1.1261261261261261e-05
Chinese,DQB1,06:01,10219,88800,0.11507882882882883
Chinese,DQB1,06:02,3159,88800,0.03557432432432432
Chinese,DQB1,06:03,421,88800,0.004740990990990991
Chinese,DQB1,06:04,207,88800,0.002331081081081081
Chinese,DQB1,06:07,1,88800,1.1261261261261261e-05
Chinese,DQB1,06:09,1997,88800,0.022488738738738738
Chinese,DQB1,06:10,252,88800,0.002837837837837838
Chinese,DQB1,06:118,3,88800,3.3783783783783784e-05
