ethnicity,locus,n_individuals,H_obs,H_exp,chi2_stat,p_value,significant
Chinese,DQB1,44400,0.8747747747747747,0.8747065350823797,0.001886541226690669,0.9653553102574006,False
Chinese,DRB1,44400,0.9259684684684685,0.9253597016780294,0.238232455118515,0.6254856534955938,False
Chinese,HLA-A,44400,0.8548423423423424,0.8534122750284068,0.7258375650983966,0.39423573198520956,False
Chinese,HLA-B,44400,0.9152477477477478,0.9163803795349403,0.7433211461112845,0.3885990692138688,False
Chinese,HLA-C,44400,0.8788063063063063,0.8817274675858291,3.633086807155842,0.05664167009352969,False
Indian,DQB1,5490,0.8737704918032787,0.8871545051277202,9.8233943191708,0.0017230605793035346,True
Indian,DRB1,5490,0.9081967213114754,0.9191944618630993,8.939860839994621,0.002790139761380792,False
Indian,HLA-A,5490,0.8967213114754098,0.9047369949004814,4.092670973270005,0.043069529920759055,False
Indian,HLA-B,5490,0.9378870673952641,0.9516970912505267,22.77661473356655,1.8196650774878958e-06,True
Indian,HLA-C,5490,0.9010928961748634,0.9185125961758587,22.25758749712574,2.384148175918384e-06,True
Malay,DQB1,5578,0.8183936894944425,0.8186240674801804,0.001993867509409602,0.964384101255337,False
Malay,DRB1,5578,0.8241305127285765,0.825478599980639,0.07036553702456487,0.7908053005223973,False
Malay,HLA-A,5578,0.8759411975618501,0.8818612015060446,1.8764185457716653,0.17074176229738341,False
Malay,HLA-B,5578,0.9417353890283255,0.9486580578750125,5.48837315582895,0.019143347970848042,False
Malay,HLA-C,5578,0.8960200788813195,0.8988206755500178,0.4810772462749343,0.4879347731165844,False
Others,DQB1,3767,0.8656756039288559,0.8869688982373791,17.03628832237136,3.6672223775479304e-05,True
Others,DRB1,3767,0.899389434563313,0.9351357114714154,79.35548487020992,5.188200878853264e-19,True
Others,HLA-A,3767,0.8842580302628086,0.9145915210042587,44.37233101842615,2.7149731695197552e-11,True
Others,HLA-B,3767,0.9394743827979825,0.9700329218101196,121.01241253484206,3.7974847830349842e-28,True
Others,HLA-C,3767,0.8985930448632864,0.9245524527372205,36.3922161733359,1.6134629398068597e-09,True
