ethnicity,locus1,locus2,locus_pair,composite_dprime,composite_r2
Chinese,HLA-A,HLA-B,A–B,0.7379,0.0679
Chinese,HLA-A,HLA-C,A–C,0.6728,0.0654
Chinese,HLA-A,DRB1,A–DRB1,0.5292,0.0245
Chinese,HLA-A,DQB1,A–DQB1,0.4917,0.0299
Chinese,HLA-B,HLA-C,B–C,0.9538,0.1194
Chinese,HLA-B,DRB1,B–DRB1,0.7274,0.0399
Chinese,HLA-B,DQB1,B–DQB1,0.6451,0.0404
Chinese,HLA-C,DRB1,C–DRB1,0.6922,0.0409
Chinese,HLA-C,DQB1,C–DQB1,0.6108,0.041
Chinese,DRB1,DQB1,DRB1–DQB1,0.9873,0.1172
Malay,HLA-A,HLA-B,A–B,0.6241,0.0277
Malay,HLA-A,HLA-C,A–C,0.5603,0.0275
Malay,HLA-A,DRB1,A–DRB1,0.5015,0.0267
Malay,HLA-A,DQB1,A–DQB1,0.5,0.0309
Malay,HLA-B,HLA-C,B–C,0.9755,0.0847
Malay,HLA-B,DRB1,B–DRB1,0.7188,0.0392
Malay,HLA-B,DQB1,B–DQB1,0.7037,0.0385
Malay,HLA-C,DRB1,C–DRB1,0.6523,0.0522
Malay,HLA-C,DQB1,C–DQB1,0.6357,0.0517
Malay,DRB1,DQB1,DRB1–DQB1,0.9416,0.3222
Indian,HLA-A,HLA-B,A–B,0.6933,0.0291
Indian,HLA-A,HLA-C,A–C,0.6352,0.0368
Indian,HLA-A,DRB1,A–DRB1,0.5324,0.0163
Indian,HLA-A,DQB1,A–DQB1,0.5631,0.0256
Indian,HLA-B,HLA-C,B–C,0.9865,0.0775
Indian,HLA-B,DRB1,B–DRB1,0.8169,0.0411
Indian,HLA-B,DQB1,B–DQB1,0.7788,0.0445
Indian,HLA-C,DRB1,C–DRB1,0.7533,0.0495
Indian,HLA-C,DQB1,C–DQB1,0.6742,0.0407
Indian,DRB1,DQB1,DRB1–DQB1,0.9561,0.0931
Others,HLA-A,HLA-B,A–B,0.8047,0.0247
Others,HLA-A,HLA-C,A–C,0.6979,0.0253
Others,HLA-A,DRB1,A–DRB1,0.661,0.0216
Others,HLA-A,DQB1,A–DQB1,0.6436,0.0252
Others,HLA-B,HLA-C,B–C,0.9488,0.0439
Others,HLA-B,DRB1,B–DRB1,0.8997,0.0346
Others,HLA-B,DQB1,B–DQB1,0.8613,0.0332
Others,HLA-C,DRB1,C–DRB1,0.7842,0.0371
Others,HLA-C,DQB1,C–DQB1,0.7609,0.0419
Others,DRB1,DQB1,DRB1–DQB1,0.9339,0.0931
