sample_id,cluster,pc1,pc2
BMDP_OUT_10257,Cluster_2,-0.1696459804387129,0.40868435131744607
BMDP_OUT_10258,Cluster_3,-0.3309537125695534,-0.9583937773603367
BMDP_OUT_10259,Cluster_1,0.3412278498215935,0.9850904544418079
BMDP_OUT_10260,Cluster_3,-0.6504035656353593,-1.2845633185363463
BMDP_OUT_10261,Cluster_2,-0.32234403903330533,0.36204984488166253
BMDP_OUT_10262,Cluster_1,1.1872287242800597,0.1269870996504151
BMDP_OUT_10263,Cluster_3,0.18071064309819773,-0.41870579566660987
BMDP_OUT_10264,Cluster_2,-0.5496078949861805,0.4078848143967896
BMDP_OUT_10265,Cluster_2,-0.42130117317675375,1.2225326085170882
BMDP_OUT_10266,Cluster_3,-0.20361470099674026,-0.03226647017795481
BMDP_OUT_10267,Cluster_1,0.8912686784220646,0.20336391058791797
BMDP_OUT_10268,Cluster_1,1.4664052128936655,0.4030257887720863
BMDP_OUT_10269,Cluster_3,-0.2865371485167493,-1.374386800949656
BMDP_OUT_10299,Cluster_3,-0.20965083388382952,-0.7215098450196037
BMDP_OUT_10300,Cluster_3,-0.20062182845609214,-0.5022123390638723
BMDP_OUT_10301,Cluster_1,1.34404719973574,0.3339472202849788
BMDP_OUT_10304,Cluster_2,-0.19713589707304505,0.6850445656914783
BMDP_OUT_10316,Cluster_1,1.0932149592418772,1.0614074300757204
BMDP_OUT_10349,Cluster_3,-0.8616023351931917,-1.182667869063615
BMDP_OUT_10350,Cluster_1,0.9043952253780126,-0.5996339440994605
BMDP_OUT_10352,Cluster_1,0.6934609365972222,-0.5730941661135329
BMDP_OUT_10353,Cluster_3,0.5291939821983447,-0.11249709024265767
BMDP_OUT_10354,Cluster_3,0.08647709438316413,0.06834202346263961
BMDP_OUT_10355,Cluster_3,0.01275895202045449,-0.7172628116248632
BMDP_OUT_10356,Cluster_1,0.9332522421229703,-0.5284356492619289
BMDP_OUT_10434,Cluster_1,0.6159249276425319,0.13185734984333491
BMDP_OUT_10552,Cluster_3,-0.3513909509039521,-0.6309848542791782
BMDP_OUT_10554,Cluster_3,0.21454563518199687,-0.8171442659872276
BMDP_OUT_10555,Cluster_3,0.2185236130355061,-0.5295360274319156
BMDP_OUT_10556,Cluster_3,0.06641092932471993,-0.5056435745815354
BMDP_OUT_10557,Cluster_1,1.0899145716167387,0.21818696527732973
BMDP_OUT_10558,Cluster_3,0.10588025053567773,-0.4204810325185484
BMDP_OUT_10559,Cluster_3,-0.2680859570702302,-0.2850846734448464
BMDP_OUT_10560,Cluster_3,-0.7549979041124895,-1.2727882267991795
BMDP_OUT_10561,Cluster_3,0.2803899021491294,-0.8855603064509304
BMDP_OUT_10562,Cluster_3,0.30198079415941814,-0.5403778046475741
BMDP_OUT_10563,Cluster_3,-0.43858474038241624,-0.8579255851313098
BMDP_OUT_10564,Cluster_2,-0.2913185856351448,0.6503348690037375
BMDP_OUT_10565,Cluster_1,1.0345831190095294,0.13604497463104237
BMDP_OUT_10566,Cluster_1,0.4614159155671712,0.0806287822205498
BMDP_OUT_10567,Cluster_3,0.08049093789324485,-0.661944956301746
BMDP_OUT_10568,Cluster_2,-0.11110442837066331,0.43967673030154975
BMDP_OUT_10569,Cluster_2,-1.2850449058480762,-0.4320440839266734
BMDP_OUT_10570,Cluster_1,0.5169063007214448,0.6641321487310929
BMDP_OUT_10613,Cluster_2,-0.02104945012158624,-0.05927076031825769
BMDP_OUT_10614,Cluster_2,-0.4044585949720153,0.3909801419920917
BMDP_OUT_10615,Cluster_3,0.4681560647371775,-0.7285130289651612
BMDP_OUT_10616,Cluster_3,0.39958790331852223,-0.6608595241323773
BMDP_OUT_10637,Cluster_2,0.12988530731785286,0.016187013719648466
BMDP_OUT_10638,Cluster_1,1.6202907264458921,0.49006218675360336
BMDP_OUT_10639,Cluster_1,1.0626405533887406,0.34732971253140676
BMDP_OUT_10640,Cluster_2,-0.2855907614021085,0.368750032212344
BMDP_OUT_10641,Cluster_1,0.9034395055739248,-0.06368720587734733
