ethnicity,match_level,target_coverage,registry_size,ci_lo,ci_median,ci_hi,ci_width
Chinese,10of10,0.75,7581,6892,7286,7685,793
Chinese,10of10,0.85,15181,13985,14549,15103,1118
Chinese,10of10,0.9,23506,21874,22529,23216,1342
Chinese,10of10,0.95,42871,40199,41187,42177,1978
Chinese,8of8,0.75,7485,6850,7204,7545,695
Chinese,8of8,0.85,14956,13826,14355,14865,1039
Chinese,8of8,0.9,23132,21536,22190,22833,1297
Chinese,8of8,0.95,42137,39524,40489,41468,1944
Malay,10of10,0.75,6433,5853,6181,6524,671
Malay,10of10,0.85,13298,12207,12715,13265,1058
Malay,10of10,0.9,21546,19833,20533,21321,1488
Malay,10of10,0.95,41779,38730,39829,40852,2122
Malay,8of8,0.75,5857,5367,5627,5905,538
Malay,8of8,0.85,12030,11029,11525,12027,998
Malay,8of8,0.9,19418,17869,18556,19250,1381
Malay,8of8,0.95,37688,34932,35988,36947,2015
Indian,10of10,0.75,9857,9087,9496,9877,790
Indian,10of10,0.85,18363,17185,17722,18181,996
Indian,10of10,0.9,26906,25419,26064,26523,1104
Indian,10of10,0.95,44863,42767,43787,44754,1987
Indian,8of8,0.75,9519,8759,9168,9501,742
Indian,8of8,0.85,17777,16593,17141,17575,982
Indian,8of8,0.9,26105,24614,25235,25707,1093
Indian,8of8,0.95,43684,41636,42597,43278,1642
Others,10of10,0.75,7207,6608,6880,7206,598
Others,10of10,0.85,13119,12175,12513,12915,740
Others,10of10,0.9,19246,17974,18360,18848,874
Others,10of10,0.95,32360,30443,31135,31957,1514
Others,8of8,0.75,6763,6200,6475,6754,554
Others,8of8,0.85,12505,11551,11945,12342,791
Others,8of8,0.9,18592,17313,17751,18240,927
Others,8of8,0.95,31774,29815,30534,31372,1557
