match_level,ethnicity,model_variant,target_coverage,registry_size
8of8,Chinese,same_ethnicity,0.75,7485
8of8,Chinese,same_ethnicity,0.85,14956
8of8,Chinese,same_ethnicity,0.9,23132
8of8,Chinese,same_ethnicity,0.95,42137
8of8,Chinese,cross_ethnic,0.75,12034
8of8,Chinese,cross_ethnic,0.85,25577
8of8,Chinese,cross_ethnic,0.9,42208
8of8,Chinese,cross_ethnic,0.95,92804
8of8,Malay,same_ethnicity,0.75,5857
8of8,Malay,same_ethnicity,0.85,12030
8of8,Malay,same_ethnicity,0.9,19418
8of8,Malay,same_ethnicity,0.95,37688
8of8,Malay,cross_ethnic,0.75,10000000
8of8,Malay,cross_ethnic,0.85,10000000
8of8,Malay,cross_ethnic,0.9,10000000
8of8,Malay,cross_ethnic,0.95,10000000
8of8,Indian,same_ethnicity,0.75,9519
8of8,Indian,same_ethnicity,0.85,17777
8of8,Indian,same_ethnicity,0.9,26105
8of8,Indian,same_ethnicity,0.95,43684
8of8,Indian,cross_ethnic,0.75,1539866
8of8,Indian,cross_ethnic,0.85,5092779
8of8,Indian,cross_ethnic,0.9,10000000
8of8,Indian,cross_ethnic,0.95,10000000
8of8,Others,same_ethnicity,0.75,6763
8of8,Others,same_ethnicity,0.85,12505
8of8,Others,same_ethnicity,0.9,18592
8of8,Others,same_ethnicity,0.95,31774
8of8,Others,cross_ethnic,0.75,10000000
8of8,Others,cross_ethnic,0.85,10000000
8of8,Others,cross_ethnic,0.9,10000000
8of8,Others,cross_ethnic,0.95,10000000
8of8,Combined,same_ethnicity,0.75,23483
8of8,Combined,same_ethnicity,0.85,54617
8of8,Combined,same_ethnicity,0.9,96637
8of8,Combined,same_ethnicity,0.95,223667
10of10,Chinese,same_ethnicity,0.75,7581
10of10,Chinese,same_ethnicity,0.85,15181
10of10,Chinese,same_ethnicity,0.9,23506
10of10,Chinese,same_ethnicity,0.95,42871
10of10,Chinese,cross_ethnic,0.75,12198
10of10,Chinese,cross_ethnic,0.85,25941
10of10,Chinese,cross_ethnic,0.9,42769
10of10,Chinese,cross_ethnic,0.95,93348
10of10,Malay,same_ethnicity,0.75,6433
10of10,Malay,same_ethnicity,0.85,13298
10of10,Malay,same_ethnicity,0.9,21546
10of10,Malay,same_ethnicity,0.95,41779
10of10,Malay,cross_ethnic,0.75,10000000
10of10,Malay,cross_ethnic,0.85,10000000
10of10,Malay,cross_ethnic,0.9,10000000
10of10,Malay,cross_ethnic,0.95,10000000
10of10,Indian,same_ethnicity,0.75,9857
10of10,Indian,same_ethnicity,0.85,18363
10of10,Indian,same_ethnicity,0.9,26906
10of10,Indian,same_ethnicity,0.95,44863
10of10,Indian,cross_ethnic,0.75,1603350
10of10,Indian,cross_ethnic,0.85,5181832
10of10,Indian,cross_ethnic,0.9,10000000
10of10,Indian,cross_ethnic,0.95,10000000
10of10,Others,same_ethnicity,0.75,7207
10of10,Others,same_ethnicity,0.85,13119
10of10,Others,same_ethnicity,0.9,19246
10of10,Others,same_ethnicity,0.95,32360
10of10,Others,cross_ethnic,0.75,10000000
10of10,Others,cross_ethnic,0.85,10000000
10of10,Others,cross_ethnic,0.9,10000000
10of10,Others,cross_ethnic,0.95,10000000
10of10,Combined,same_ethnicity,0.75,24530
10of10,Combined,same_ethnicity,0.85,57443
10of10,Combined,same_ethnicity,0.9,102032
10of10,Combined,same_ethnicity,0.95,236906
