match_level,ethnicity,model_variant,target_coverage,registry_size
8of8,Chinese,same_ethnicity,0.75,2355697
8of8,Chinese,same_ethnicity,0.85,8344407
8of8,Chinese,same_ethnicity,0.9,19302595
8of8,Chinese,same_ethnicity,0.95,64612698
8of8,Chinese,cross_ethnic,0.75,3191772
8of8,Chinese,cross_ethnic,0.85,11269079
8of8,Chinese,cross_ethnic,0.9,26034935
8of8,Chinese,cross_ethnic,0.95,87186340
8of8,Malay,same_ethnicity,0.75,838708
8of8,Malay,same_ethnicity,0.85,2573956
8of8,Malay,same_ethnicity,0.9,5214840
8of8,Malay,same_ethnicity,0.95,13457360
8of8,Malay,cross_ethnic,0.75,34676843
8of8,Malay,cross_ethnic,0.85,313355088
8of8,Malay,cross_ethnic,0.9,10000000000
8of8,Malay,cross_ethnic,0.95,10000000000
8of8,Indian,same_ethnicity,0.75,2858862
8of8,Indian,same_ethnicity,0.85,6975347
8of8,Indian,same_ethnicity,0.9,12192674
8of8,Indian,same_ethnicity,0.95,25924485
8of8,Indian,cross_ethnic,0.75,160128426
8of8,Indian,cross_ethnic,0.85,442073802
8of8,Indian,cross_ethnic,0.9,833865891
8of8,Indian,cross_ethnic,0.95,1976479702
8of8,Others,same_ethnicity,0.75,3357321
8of8,Others,same_ethnicity,0.85,7624512
8of8,Others,same_ethnicity,0.9,12496019
8of8,Others,same_ethnicity,0.95,23860159
8of8,Others,cross_ethnic,0.75,131261969
8of8,Others,cross_ethnic,0.85,484696928
8of8,Others,cross_ethnic,0.9,1121855522
8of8,Others,cross_ethnic,0.95,3553963391
8of8,Combined,same_ethnicity,0.75,7126960
8of8,Combined,same_ethnicity,0.85,26077209
8of8,Combined,same_ethnicity,0.9,61470270
8of8,Combined,same_ethnicity,0.95,208938879
10of10,Chinese,same_ethnicity,0.75,3148792
10of10,Chinese,same_ethnicity,0.85,11287987
10of10,Chinese,same_ethnicity,0.9,26222315
10of10,Chinese,same_ethnicity,0.95,87384114
10of10,Chinese,cross_ethnic,0.75,4347583
10of10,Chinese,cross_ethnic,0.85,15582073
10of10,Chinese,cross_ethnic,0.9,36221915
10of10,Chinese,cross_ethnic,0.95,121134673
10of10,Malay,same_ethnicity,0.75,1121822
10of10,Malay,same_ethnicity,0.85,3394488
10of10,Malay,same_ethnicity,0.9,6716756
10of10,Malay,same_ethnicity,0.95,16552048
10of10,Malay,cross_ethnic,0.75,50938009
10of10,Malay,cross_ethnic,0.85,323681508
10of10,Malay,cross_ethnic,0.9,2957507379
10of10,Malay,cross_ethnic,0.95,10000000000
10of10,Indian,same_ethnicity,0.75,3319587
10of10,Indian,same_ethnicity,0.85,7996681
10of10,Indian,same_ethnicity,0.9,13826361
10of10,Indian,same_ethnicity,0.95,28817950
10of10,Indian,cross_ethnic,0.75,207455551
10of10,Indian,cross_ethnic,0.85,566153878
10of10,Indian,cross_ethnic,0.9,1059287735
10of10,Indian,cross_ethnic,0.95,2475561504
10of10,Others,same_ethnicity,0.75,3924269
10of10,Others,same_ethnicity,0.85,8783643
10of10,Others,same_ethnicity,0.9,14229289
10of10,Others,same_ethnicity,0.95,26762600
10of10,Others,cross_ethnic,0.75,194883406
10of10,Others,cross_ethnic,0.85,712465310
10of10,Others,cross_ethnic,0.9,1617028172
10of10,Others,cross_ethnic,0.95,4937572361
10of10,Combined,same_ethnicity,0.75,9852498
10of10,Combined,same_ethnicity,0.85,36499084
10of10,Combined,same_ethnicity,0.9,86174218
10of10,Combined,same_ethnicity,0.95,289962528
