ethnicity,target_coverage,n_star_original,n_star_smoothed,pct_increase
Chinese,0.75,3148792,62587534,1887.67
Chinese,0.85,11287987,88375873,682.92
Chinese,0.9,26222315,109069257,315.94
Chinese,0.95,87384114,144757794,65.66
Malay,0.75,1121822,6608089,489.05
Malay,0.85,3394488,9781999,188.17
Malay,0.9,6716756,12378172,84.29
Malay,0.95,16552048,16926407,2.26
Indian,0.75,3319587,10899982,228.35
Indian,0.85,7996681,15668484,95.94
Indian,0.9,13826361,19549607,41.39
Indian,0.95,28817950,26326814,-8.64
Others,0.75,3924269,14489836,269.24
Others,0.85,8783643,20672172,135.35
Others,0.9,14229289,25685849,80.51
Others,0.95,26762600,34422051,28.62
