ethnicity,locus,allele,frequency,n_alleles
Chinese,DQB1,03:01,0.22870495495495496,88800
Chinese,DQB1,03:03,0.15441441441441442,88800
Chinese,DQB1,06:01,0.11507882882882883,88800
Chinese,DQB1,02:01,0.10949324324324325,88800
Chinese,DQB1,05:02,0.0968581081081081,88800
Chinese,DQB1,03:02,0.07846846846846847,88800
Chinese,DQB1,04:01,0.061204954954954954,88800
Chinese,DQB1,05:03,0.04114864864864865,88800
Chinese,DQB1,06:02,0.03557432432432432,88800
Chinese,DQB1,05:01,0.029853603603603604,88800
Chinese,DQB1,06:09,0.022488738738738738,88800
Chinese,DQB1,04:02,0.015326576576576576,88800
Chinese,DQB1,06:03,0.004740990990990991,88800
Chinese,DQB1,06:10,0.002837837837837838,88800
Chinese,DQB1,06:04,0.002331081081081081,88800
Chinese,DQB1,03:13,0.0005518018018018018,88800
Chinese,DQB1,03:05,0.00012387387387387388,88800
Chinese,DQB1,03:17,0.00010135135135135135,88800
Chinese,DQB1,03:26,9.009009009009009e-05,88800
Chinese,DQB1,02:02,5.630630630630631e-05,88800
Chinese,DQB1,-:,5.630630630630631e-05,88800
Chinese,DQB1,03:CVDNR,4.5045045045045046e-05,88800
Chinese,DQB1,03:34,3.3783783783783784e-05,88800
Chinese,DQB1,03:10,3.3783783783783784e-05,88800
Chinese,DQB1,03:CAVTC,3.3783783783783784e-05,88800
Chinese,DQB1,06:118,3.3783783783783784e-05,88800
Chinese,DQB1,05:04,3.3783783783783784e-05,88800
Chinese,DQB1,03:04,2.2522522522522523e-05,88800
Chinese,DQB1,03:BMSUA,2.2522522522522523e-05,88800
Chinese,DQB1,03:258,2.2522522522522523e-05,88800
Chinese,DQB1,06:BYFKE,2.2522522522522523e-05,88800
Chinese,DQB1,06:CAVTF,2.2522522522522523e-05,88800
Chinese,DQB1,02:75,1.1261261261261261e-05,88800
Chinese,DQB1,03:57,1.1261261261261261e-05,88800
Chinese,DQB1,03:108,1.1261261261261261e-05,88800
Chinese,DQB1,06:74,1.1261261261261261e-05,88800
Chinese,DQB1,03:CAVTB,1.1261261261261261e-05,88800
Chinese,DQB1,04:CETHX,1.1261261261261261e-05,88800
Chinese,DQB1,04:CEKBY,1.1261261261261261e-05,88800
Chinese,DQB1,06:07,1.1261261261261261e-05,88800
Chinese,DQB1,05:116,1.1261261261261261e-05,88800
Chinese,DQB1,06:214,1.1261261261261261e-05,88800
Chinese,DQB1,03:274,1.1261261261261261e-05,88800
Chinese,DQB1,06:174,1.1261261261261261e-05,88800
Chinese,DQB1,06:48,1.1261261261261261e-05,88800
Chinese,DQB1,05:66,1.1261261261261261e-05,88800
Chinese,DQB1,05:CEKCA,1.1261261261261261e-05,88800
Chinese,DRB1,09:01,0.14956081081081082,88800
Chinese,DRB1,12:02,0.11109234234234235,88800
Chinese,DRB1,15:01,0.08604729729729729,88800
Chinese,DRB1,03:01,0.08275900900900901,88800
Chinese,DRB1,11:01,0.07507882882882883,88800
Chinese,DRB1,08:03,0.07399774774774774,88800
Chinese,DRB1,04:05,0.06855855855855855,88800
Chinese,DRB1,16:02,0.04891891891891892,88800
Chinese,DRB1,12:01,0.035405405405405405,88800
Chinese,DRB1,14:01,0.03477477477477477,88800
Chinese,DRB1,04:06,0.030810810810810812,88800
Chinese,DRB1,07:01,0.030202702702702703,88800
Chinese,DRB1,04:03,0.029842342342342343,88800
Chinese,DRB1,15:02,0.027702702702702704,88800
Chinese,DRB1,13:02,0.02492117117117117,88800
Chinese,DRB1,14:05,0.020653153153153154,88800
Chinese,DRB1,10:01,0.012567567567567568,88800
Chinese,DRB1,04:04,0.009335585585585586,88800
Chinese,DRB1,08:09,0.006925675675675676,88800
Chinese,DRB1,13:12,0.005867117117117117,88800
Chinese,DRB1,08:02,0.005349099099099099,88800
Chinese,DRB1,13:01,0.00463963963963964,88800
Chinese,DRB1,14:04,0.004436936936936937,88800
Chinese,DRB1,01:01,0.0043355855855855855,88800
Chinese,DRB1,04:01,0.002972972972972973,88800
Chinese,DRB1,11:06,0.0019369369369369369,88800
Chinese,DRB1,14:03,0.0018355855855855855,88800
Chinese,DRB1,04:10,0.001813063063063063,88800
Chinese,DRB1,14:18,0.0017567567567567568,88800
Chinese,DRB1,11:04,0.001418918918918919,88800
Chinese,DRB1,14:07,0.0005292792792792793,88800
Chinese,DRB1,16:01,0.00033783783783783786,88800
Chinese,DRB1,13:07,0.0003153153153153153,88800
Chinese,DRB1,04:07,0.00030405405405405404,88800
Chinese,DRB1,04:02,0.000259009009009009,88800
Chinese,DRB1,14:54,0.00022522522522522523,88800
Chinese,DRB1,15:04,0.00019144144144144144,88800
Chinese,DRB1,04:08,0.00018018018018018018,88800
Chinese,DRB1,14:10,0.00015765765765765765,88800
Chinese,DRB1,01:02,0.0001463963963963964,88800
Chinese,DRB1,09:04,0.00011261261261261261,88800
Chinese,DRB1,14:25,0.00011261261261261261,88800
Chinese,DRB1,11:03,0.00010135135135135135,88800
Chinese,DRB1,14:02,9.009009009009009e-05,88800
Chinese,DRB1,14:12,9.009009009009009e-05,88800
Chinese,DRB1,13:50,7.882882882882882e-05,88800
Chinese,DRB1,08:04,7.882882882882882e-05,88800
Chinese,DRB1,08:01,6.756756756756757e-05,88800
Chinese,DRB1,11:05,5.630630630630631e-05,88800
Chinese,DRB1,03:05,4.5045045045045046e-05,88800
Chinese,DRB1,13:05,4.5045045045045046e-05,88800
Chinese,DRB1,16:35,4.5045045045045046e-05,88800
Chinese,DRB1,09:DZUU,3.3783783783783784e-05,88800
Chinese,DRB1,12:08,3.3783783783783784e-05,88800
Chinese,DRB1,14:15,3.3783783783783784e-05,88800
Chinese,DRB1,13:03,3.3783783783783784e-05,88800
Chinese,DRB1,15:ADHVT,3.3783783783783784e-05,88800
Chinese,DRB1,08:35,2.2522522522522523e-05,88800
Chinese,DRB1,11:45,2.2522522522522523e-05,88800
Chinese,DRB1,04:80,2.2522522522522523e-05,88800
Chinese,DRB1,11:37,2.2522522522522523e-05,88800
Chinese,DRB1,08:14,2.2522522522522523e-05,88800
Chinese,DRB1,12:BZEBD,2.2522522522522523e-05,88800
Chinese,DRB1,15:06,2.2522522522522523e-05,88800
Chinese,DRB1,04:95,2.2522522522522523e-05,88800
Chinese,DRB1,11:54,2.2522522522522523e-05,88800
Chinese,DRB1,13:19,2.2522522522522523e-05,88800
Chinese,DRB1,15:03,2.2522522522522523e-05,88800
Chinese,DRB1,14:61,2.2522522522522523e-05,88800
Chinese,DRB1,14:84,2.2522522522522523e-05,88800
Chinese,DRB1,12:20,2.2522522522522523e-05,88800
Chinese,DRB1,11:106,1.1261261261261261e-05,88800
Chinese,DRB1,14:06,1.1261261261261261e-05,88800
Chinese,DRB1,03:133,1.1261261261261261e-05,88800
Chinese,DRB1,08:32,1.1261261261261261e-05,88800
Chinese,DRB1,03:37,1.1261261261261261e-05,88800
Chinese,DRB1,08:12,1.1261261261261261e-05,88800
Chinese,DRB1,03:27,1.1261261261261261e-05,88800
Chinese,DRB1,04:09,1.1261261261261261e-05,88800
Chinese,DRB1,03:06,1.1261261261261261e-05,88800
Chinese,DRB1,07:13,1.1261261261261261e-05,88800
Chinese,DRB1,04:183,1.1261261261261261e-05,88800
Chinese,DRB1,03:33,1.1261261261261261e-05,88800
Chinese,DRB1,04:AFZJW,1.1261261261261261e-05,88800
Chinese,DRB1,08:FTZK,1.1261261261261261e-05,88800
Chinese,DRB1,08:30,1.1261261261261261e-05,88800
Chinese,DRB1,14:44,1.1261261261261261e-05,88800
Chinese,DRB1,16:10,1.1261261261261261e-05,88800
Chinese,DRB1,15:11,1.1261261261261261e-05,88800
Chinese,DRB1,12:27,1.1261261261261261e-05,88800
Chinese,DRB1,15:14,1.1261261261261261e-05,88800
Chinese,DRB1,08:19,1.1261261261261261e-05,88800
Chinese,DRB1,11:19,1.1261261261261261e-05,88800
Chinese,DRB1,13:228,1.1261261261261261e-05,88800
Chinese,DRB1,12:64,1.1261261261261261e-05,88800
Chinese,DRB1,13:13,1.1261261261261261e-05,88800
Chinese,DRB1,13:51,1.1261261261261261e-05,88800
Chinese,DRB1,14:197N,1.1261261261261261e-05,88800
Chinese,DRB1,13:14,1.1261261261261261e-05,88800
Chinese,DRB1,13:118,1.1261261261261261e-05,88800
Chinese,DRB1,11:08,1.1261261261261261e-05,88800
Chinese,DRB1,12:19,1.1261261261261261e-05,88800
Chinese,DRB1,14:100,1.1261261261261261e-05,88800
Chinese,DRB1,12:62,1.1261261261261261e-05,88800
Chinese,DRB1,12:JV,1.1261261261261261e-05,88800
Chinese,DRB1,15:BFBXD,1.1261261261261261e-05,88800
Chinese,DRB1,~:,1.1261261261261261e-05,88800
Chinese,DRB1,15:07,1.1261261261261261e-05,88800
