ethnicity,match_level,target_coverage,registry_size,em_registry_size,ci_lo,ci_hi,ci_width,pct_below
Chinese,10of10,0.75,7292,7581,6918,7651,733,0.935
Chinese,10of10,0.85,14555,15181,13990,15097,1107,0.99
Chinese,10of10,0.9,22534,23506,21859,23207,1348,0.996
Chinese,10of10,0.95,41183,42871,40184,42153,1969,1.0
Chinese,8of8,0.75,7188,7485,6859,7535,676,0.948
Chinese,8of8,0.85,14327,14956,13846,14862,1016,0.99
Chinese,8of8,0.9,22170,23132,21553,22848,1295,1.0
Chinese,8of8,0.95,40490,42137,39534,41528,1994,1.0
Malay,10of10,0.75,6169,6433,5859,6502,643,0.937
Malay,10of10,0.85,12712,13298,12205,13253,1048,0.984
Malay,10of10,0.9,20521,21546,19845,21237,1392,0.997
Malay,10of10,0.95,39831,41779,38680,40935,2255,1.0
Malay,8of8,0.75,5635,5857,5359,5928,569,0.932
Malay,8of8,0.85,11548,12030,11070,12043,973,0.973
Malay,8of8,0.9,18563,19418,17880,19244,1364,0.99
Malay,8of8,0.95,35999,37688,34976,37067,2091,1.0
Indian,10of10,0.75,9491,9857,9148,9876,728,0.969
Indian,10of10,0.85,17706,18363,17217,18170,953,0.995
Indian,10of10,0.9,26038,26906,25457,26540,1083,0.999
Indian,10of10,0.95,43785,44863,42762,44547,1785,0.996
Indian,8of8,0.75,9169,9519,8787,9570,783,0.964
Indian,8of8,0.85,17138,17777,16626,17604,978,0.999
Indian,8of8,0.9,25256,26105,24613,25681,1068,0.998
Indian,8of8,0.95,42590,43684,41628,43391,1763,0.997
Others,10of10,0.75,6864,7207,6578,7202,624,0.978
Others,10of10,0.85,12487,13119,12102,12941,839,0.999
Others,10of10,0.9,18341,19246,17920,18882,962,1.0
Others,10of10,0.95,31129,32360,30420,32001,1581,0.997
Others,8of8,0.75,6454,6763,6175,6737,562,0.982
Others,8of8,0.85,11913,12505,11548,12318,770,0.998
Others,8of8,0.9,17704,18592,17264,18227,963,1.0
Others,8of8,0.95,30489,31774,29790,31271,1481,1.0
