ethnicity,N,cov_full,cov_trunc
Chinese,25000,33.5,86.8
Chinese,50000,41.8,93.5
Chinese,100000,50.6,97.5
Chinese,500000,70.4,100.0
Chinese,1000000,78.0,100.0
Chinese,10000000,94.9,100.0
Malay,25000,28.8,92.1
Malay,50000,36.6,96.5
Malay,100000,45.2,98.9
Malay,500000,65.3,100.0
Malay,1000000,72.9,100.0
Malay,10000000,92.2,100.0
Indian,25000,14.4,90.0
Indian,50000,20.2,96.3
Indian,100000,27.3,99.2
Indian,500000,48.0,100.0
Indian,1000000,57.8,100.0
Indian,10000000,86.9,100.0
Others,25000,14.6,92.0
Others,50000,20.8,97.2
Others,100000,28.6,99.4
Others,500000,50.8,100.0
Others,1000000,60.9,100.0
Others,10000000,89.4,100.0
