ethnicity,n_individuals,floor,n_haps,mass_retained,n_diplo,cov_50k,cov_500k,N90,N95
Chinese,45754,0.0,234568,1.0,33928203,31.7,56.4,26287889,87530956
Chinese,45754,1e-06,9595,0.9997,33681528,31.7,56.4,26138907,86971552
Chinese,45754,1e-05,8537,0.9932,29081751,32.2,57.2,23358900,76579448
Chinese,45754,3e-05,3198,0.9131,4250070,39.7,67.5,6085450,16405166
Chinese,45754,0.0001,1253,0.8076,693253,52.3,81.1,1370874,3153571
Chinese,45754,0.0003,488,0.6793,109278,70.9,94.7,260604,528501
Chinese,45754,0.001,136,0.4905,8911,96.1,100.0,22991,41727
Others,3941,0.0,65020,1.0,5925403,17.6,45.7,14235900,26987290
Others,3941,1e-06,4654,1.0,5925403,17.6,45.7,14235905,26987264
Others,3941,1e-05,3462,0.9903,4720128,18.0,46.7,12801558,23750297
Others,3941,3e-05,3182,0.9858,4582878,18.3,47.1,12423199,23056443
Others,3941,0.0001,3054,0.9789,4420851,18.6,47.7,11946010,22219299
Others,3941,0.0003,571,0.5865,153735,59.4,92.0,406521,732600
Others,3941,0.001,126,0.3571,7750,97.4,100.0,20281,34110
