ethnicity,min_match,coverage,N_star
Chinese,10/10,0.75,236052.0
Chinese,10/10,0.9,1223592.0
Chinese,10/10,0.95,2998168.0
Chinese,10/10,cov@50k,55.2
Chinese,9/10,0.75,17202.0
Chinese,9/10,0.9,72387.0
Chinese,9/10,0.95,167194.0
Chinese,9/10,cov@50k,86.9
Chinese,8/10,0.75,2017.0
Chinese,8/10,0.9,7389.0
Chinese,8/10,0.95,15813.0
Chinese,8/10,cov@50k,98.6
Others,10/10,0.75,3210199.0
Others,10/10,0.9,11270295.0
Others,10/10,0.95,20751252.0
Others,10/10,cov@50k,19.4
Others,9/10,0.75,413315.0
Others,9/10,0.9,1778313.0
Others,9/10,0.95,3991544.0
Others,9/10,cov@50k,43.5
Others,8/10,0.75,39762.0
Others,8/10,0.9,137807.0
Others,8/10,0.95,274219.0
Others,8/10,cov@50k,78.3
