framework,ethnicity,min_match,coverage,N_star
10-locus,Chinese,10/10,0.75,2579937.0
10-locus,Chinese,10/10,0.9,23810124.0
10-locus,Chinese,10/10,0.95,90282382.0
10-locus,Chinese,10/10,cov@50k,33.6
10-locus,Chinese,≥9/10,0.75,95966.0
10-locus,Chinese,≥9/10,0.9,681593.0
10-locus,Chinese,≥9/10,0.95,2175202.0
10-locus,Chinese,≥9/10,cov@50k,67.9
10-locus,Chinese,≥8/10,0.75,6873.0
10-locus,Chinese,≥8/10,0.9,35048.0
10-locus,Chinese,≥8/10,0.95,101204.0
10-locus,Chinese,≥8/10,cov@50k,92.0
10-locus,Malay,10/10,0.75,948763.0
10-locus,Malay,10/10,0.9,5979929.0
10-locus,Malay,10/10,0.95,15203831.0
10-locus,Malay,10/10,cov@50k,40.4
10-locus,Malay,≥9/10,0.75,77622.0
10-locus,Malay,≥9/10,0.9,484300.0
10-locus,Malay,≥9/10,0.95,1482699.0
10-locus,Malay,≥9/10,cov@50k,70.1
10-locus,Malay,≥8/10,0.75,7422.0
10-locus,Malay,≥8/10,0.9,37550.0
10-locus,Malay,≥8/10,0.95,94230.0
10-locus,Malay,≥8/10,cov@50k,91.8
10-locus,Indian,10/10,0.75,3215365.0
10-locus,Indian,10/10,0.9,13718278.0
10-locus,Indian,10/10,0.95,29526466.0
10-locus,Indian,10/10,cov@50k,21.3
10-locus,Indian,≥9/10,0.75,229365.0
10-locus,Indian,≥9/10,0.9,1116500.0
10-locus,Indian,≥9/10,0.95,2826850.0
10-locus,Indian,≥9/10,cov@50k,53.6
10-locus,Indian,≥8/10,0.75,21018.0
10-locus,Indian,≥8/10,0.9,83123.0
10-locus,Indian,≥8/10,0.95,183210.0
10-locus,Indian,≥8/10,cov@50k,85.4
10-locus,Others,10/10,0.75,4070667.0
10-locus,Others,10/10,0.9,14964752.0
10-locus,Others,10/10,0.95,28810311.0
10-locus,Others,10/10,cov@50k,17.3
10-locus,Others,≥9/10,0.75,509638.0
10-locus,Others,≥9/10,0.9,2301141.0
10-locus,Others,≥9/10,0.95,5301631.0
10-locus,Others,≥9/10,cov@50k,41.0
10-locus,Others,≥8/10,0.75,46631.0
10-locus,Others,≥8/10,0.9,168637.0
10-locus,Others,≥8/10,0.95,346865.0
10-locus,Others,≥8/10,cov@50k,76.0
8-locus,Chinese,8/8,0.75,1833312.0
8-locus,Chinese,8/8,0.9,15509790.0
8-locus,Chinese,8/8,0.95,54440990.0
8-locus,Chinese,8/8,cov@50k,35.6
8-locus,Chinese,≥7/8,0.75,32776.0
8-locus,Chinese,≥7/8,0.9,217589.0
8-locus,Chinese,≥7/8,0.95,659282.0
8-locus,Chinese,≥7/8,cov@50k,79.1
8-locus,Chinese,≥6/8,0.75,1810.0
8-locus,Chinese,≥6/8,0.9,8618.0
8-locus,Chinese,≥6/8,0.95,22237.0
8-locus,Chinese,≥6/8,cov@50k,97.5
8-locus,Malay,8/8,0.75,843001.0
8-locus,Malay,8/8,0.9,5597062.0
8-locus,Malay,8/8,0.95,14924642.0
8-locus,Malay,8/8,cov@50k,42.3
8-locus,Malay,≥7/8,0.75,32880.0
8-locus,Malay,≥7/8,0.9,192032.0
8-locus,Malay,≥7/8,0.95,545883.0
8-locus,Malay,≥7/8,cov@50k,79.3
8-locus,Malay,≥6/8,0.75,2236.0
8-locus,Malay,≥6/8,0.9,11079.0
8-locus,Malay,≥6/8,0.95,28748.0
8-locus,Malay,≥6/8,cov@50k,96.9
8-locus,Indian,8/8,0.75,2949922.0
8-locus,Indian,8/8,0.9,12674123.0
8-locus,Indian,8/8,0.95,27143158.0
8-locus,Indian,8/8,cov@50k,22.6
8-locus,Indian,≥7/8,0.75,98869.0
8-locus,Indian,≥7/8,0.9,437839.0
8-locus,Indian,≥7/8,0.95,1066461.0
8-locus,Indian,≥7/8,cov@50k,65.8
8-locus,Indian,≥6/8,0.75,5889.0
8-locus,Indian,≥6/8,0.9,22518.0
8-locus,Indian,≥6/8,0.95,49710.0
8-locus,Indian,≥6/8,cov@50k,95.0
8-locus,Others,8/8,0.75,3328339.0
8-locus,Others,8/8,0.9,12530935.0
8-locus,Others,8/8,0.95,24431391.0
8-locus,Others,8/8,cov@50k,18.7
8-locus,Others,≥7/8,0.75,170859.0
8-locus,Others,≥7/8,0.9,714874.0
8-locus,Others,≥7/8,0.95,1670592.0
8-locus,Others,≥7/8,cov@50k,56.7
8-locus,Others,≥6/8,0.75,11322.0
8-locus,Others,≥6/8,0.9,40244.0
8-locus,Others,≥6/8,0.95,80974.0
8-locus,Others,≥6/8,cov@50k,91.8
