ethnicity,min_match,coverage,N_star
Chinese,10/10,0.9,22488
Chinese,10/10,0.95,41974
Chinese,9/10,0.9,5435
Chinese,9/10,0.95,10740
Chinese,8/10,0.9,952
Chinese,8/10,0.95,1794
Malay,10/10,0.9,20658
Malay,10/10,0.95,41234
Malay,9/10,0.9,3822
Malay,9/10,0.95,8351
Malay,8/10,0.9,819
Malay,8/10,0.95,1651
Indian,10/10,0.9,26266
Indian,10/10,0.95,44371
Indian,9/10,0.9,5402
Indian,9/10,0.95,10350
Indian,8/10,0.9,1391
Indian,8/10,0.95,2381
Others,10/10,0.9,19330
Others,10/10,0.95,32690
Others,9/10,0.9,6754
Others,9/10,0.95,12973
Others,8/10,0.9,2228
Others,8/10,0.95,4007
