ethnicity,floor,mass,cov50k_published,cov50k_unconditional,observed_twin_rate,n_donors,N95_published
Chinese,0.0,1.0,31.7,31.7,41.8,44400,87530956
Chinese,1e-06,0.9997,31.7,31.7,41.8,44400,86971552
Chinese,1e-05,0.9932,32.2,32.0,41.8,44400,76579448
Chinese,3e-05,0.9131,39.7,36.3,41.8,44400,16405166
Chinese,0.0001,0.8076,52.3,42.2,41.8,44400,3153571
Chinese,0.0003,0.6793,70.9,48.2,41.8,44400,528501
Chinese,0.001,0.4905,96.1,47.1,41.8,44400,41727
Others,0.0,1.0,17.6,17.6,18.1,3767,26987290
Others,1e-06,1.0,17.6,17.6,18.1,3767,26987264
Others,1e-05,0.9903,18.0,17.8,18.1,3767,23750297
Others,3e-05,0.9858,18.3,18.0,18.1,3767,23056443
Others,0.0001,0.9789,18.6,18.2,18.1,3767,22219299
Others,0.0003,0.5865,59.4,34.8,18.1,3767,732600
Others,0.001,0.3571,97.4,34.8,18.1,3767,34110
