match_level,ethnicity,model_variant,target_coverage,registry_size
8of8,Chinese,same_ethnicity,0.75,239874
8of8,Chinese,same_ethnicity,0.85,622126
8of8,Chinese,same_ethnicity,0.9,1148339
8of8,Chinese,same_ethnicity,0.95,2689416
8of8,Chinese,cross_ethnic,0.75,342657
8of8,Chinese,cross_ethnic,0.85,890283
8of8,Chinese,cross_ethnic,0.9,1646231
8of8,Chinese,cross_ethnic,0.95,3874371
8of8,Malay,same_ethnicity,0.75,220887
8of8,Malay,same_ethnicity,0.85,608077
8of8,Malay,same_ethnicity,0.9,1153378
8of8,Malay,same_ethnicity,0.95,2721196
8of8,Malay,cross_ethnic,0.75,6752789
8of8,Malay,cross_ethnic,0.85,21660351
8of8,Malay,cross_ethnic,0.9,46918366
8of8,Malay,cross_ethnic,0.95,139824186
8of8,Indian,same_ethnicity,0.75,700481
8of8,Indian,same_ethnicity,0.85,1571336
8of8,Indian,same_ethnicity,0.9,2601406
8of8,Indian,same_ethnicity,0.95,5144141
8of8,Indian,cross_ethnic,0.75,46460029
8of8,Indian,cross_ethnic,0.85,119052443
8of8,Indian,cross_ethnic,0.9,211847158
8of8,Indian,cross_ethnic,0.95,457204843
8of8,Others,same_ethnicity,0.75,2882474
8of8,Others,same_ethnicity,0.85,6503105
8of8,Others,same_ethnicity,0.9,10601370
8of8,Others,same_ethnicity,0.95,20012004
8of8,Others,cross_ethnic,0.75,10000000000
8of8,Others,cross_ethnic,0.85,10000000000
8of8,Others,cross_ethnic,0.9,10000000000
8of8,Others,cross_ethnic,0.95,10000000000
8of8,Combined,same_ethnicity,0.75,980249
8of8,Combined,same_ethnicity,0.85,3025017
8of8,Combined,same_ethnicity,0.9,6401201
8of8,Combined,same_ethnicity,0.95,19012736
10of10,Chinese,same_ethnicity,0.75,286959
10of10,Chinese,same_ethnicity,0.85,746837
10of10,Chinese,same_ethnicity,0.9,1374083
10of10,Chinese,same_ethnicity,0.95,3168207
10of10,Chinese,cross_ethnic,0.75,413847
10of10,Chinese,cross_ethnic,0.85,1081001
10of10,Chinese,cross_ethnic,0.9,1994927
10of10,Chinese,cross_ethnic,0.95,4626950
10of10,Malay,same_ethnicity,0.75,290608
10of10,Malay,same_ethnicity,0.85,798661
10of10,Malay,same_ethnicity,0.9,1491282
10of10,Malay,same_ethnicity,0.95,3394056
10of10,Malay,cross_ethnic,0.75,9931348
10of10,Malay,cross_ethnic,0.85,32525314
10of10,Malay,cross_ethnic,0.9,70725849
10of10,Malay,cross_ethnic,0.95,206191487
10of10,Indian,same_ethnicity,0.75,797118
10of10,Indian,same_ethnicity,0.85,1769370
10of10,Indian,same_ethnicity,0.9,2904184
10of10,Indian,same_ethnicity,0.95,5661931
10of10,Indian,cross_ethnic,0.75,55981750
10of10,Indian,cross_ethnic,0.85,141090117
10of10,Indian,cross_ethnic,0.9,248365857
10of10,Indian,cross_ethnic,0.95,526601860
10of10,Others,same_ethnicity,0.75,3345295
10of10,Others,same_ethnicity,0.85,7421524
10of10,Others,same_ethnicity,0.9,11924542
10of10,Others,same_ethnicity,0.95,21989663
10of10,Others,cross_ethnic,0.75,10000000000
10of10,Others,cross_ethnic,0.85,10000000000
10of10,Others,cross_ethnic,0.9,10000000000
10of10,Others,cross_ethnic,0.95,10000000000
10of10,Combined,same_ethnicity,0.75,1218374
10of10,Combined,same_ethnicity,0.85,3779590
10of10,Combined,same_ethnicity,0.9,7992662
10of10,Combined,same_ethnicity,0.95,23769048
